timestamp,event_type,detail,text
2026-05-08T23:19:09.691266+00:00,led_color,sample=1760,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.715759+00:00,led_color,sample=1770,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.723184+00:00,led_color,sample=1780,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.729347+00:00,led_color,sample=1790,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.738969+00:00,led_color,sample=1800,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.745405+00:00,led_color,sample=1810,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.752065+00:00,led_color,sample=1820,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.758439+00:00,led_color,sample=1830,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.775463+00:00,led_color,sample=1840,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.781809+00:00,led_color,sample=1850,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.787983+00:00,led_color,sample=1860,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.794167+00:00,led_color,sample=1870,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.800651+00:00,led_color,sample=1880,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.806681+00:00,led_color,sample=1890,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.841965+00:00,led_color,sample=1900,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.848643+00:00,led_color,sample=1910,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.855378+00:00,led_color,sample=1920,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.861655+00:00,led_color,sample=1930,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.867845+00:00,led_color,sample=1940,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.874150+00:00,led_color,sample=1950,"r=0.000,g=0.000,b=1.000,a=1.000"
2026-05-08T23:19:09.883919+00:00,led_color,sample=1960,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.904485+00:00,led_color,sample=1970,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.910891+00:00,led_color,sample=1980,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.917109+00:00,led_color,sample=1990,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.923214+00:00,led_color,sample=2000,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.929416+00:00,led_color,sample=2010,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.935771+00:00,led_color,sample=2020,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.943240+00:00,led_color,sample=2030,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:09.949280+00:00,led_color,sample=2040,"r=1.000,g=1.000,b=0.000,a=1.000"
